priority,complexity,task_type,assignee_load,project_velocity,team_size,days_in_backlog,inventory_blocked,inventory_delay_days,num_dependencies,dependency_delay,day_of_week,sprint_day,team_type,actual_days_to_complete
2,5.0,1,2.0,5.91,14,8,0,0.0,3,4.62,4,6,structured,10.7
1,5.0,1,8.0,22.82,4,6,0,0.0,0,0.0,2,0,structured,9.9
3,3.0,0,5.0,19.13,13,37,0,0.0,3,6.19,0,2,structured,12.3
2,1.0,0,8.0,20.02,11,1,0,0.0,2,3.47,3,3,structured,7.9
0,5.0,0,14.0,5.0,9,12,0,0.0,1,1.75,3,7,chaotic,9.5
3,8.0,3,3.0,15.34,3,29,0,0.0,2,4.37,1,0,structured,15.8
2,5.0,2,6.0,10.83,10,9,0,0.0,5,7.61,4,8,structured,14.6
2,8.0,0,2.0,24.47,7,9,1,19.0,5,13.44,3,3,structured,180.0
1,5.0,1,6.0,12.47,2,3,0,0.0,1,1.91,0,3,structured,12.7
1,3.0,2,4.0,25.4,4,6,1,26.0,4,5.95,4,9,structured,34.3
1,8.0,1,14.0,4.62,3,3,0,0.0,4,6.29,4,1,chaotic,29.7
3,8.0,1,4.0,19.11,6,14,0,0.0,0,0.0,2,3,structured,6.7
2,8.0,2,9.0,23.68,4,22,0,0.0,3,8.32,4,5,chaotic,19.1
2,5.0,0,2.0,2.29,14,13,0,0.0,2,4.75,1,3,structured,7.9
1,3.0,1,7.0,14.17,6,17,0,0.0,2,3.85,1,6,chaotic,6.9
1,2.0,0,13.0,22.61,7,4,0,0.0,4,3.25,0,2,chaotic,9.8
2,8.0,0,10.0,13.3,12,10,0,0.0,5,10.29,3,1,structured,15.9
0,3.0,1,4.0,3.42,3,4,0,0.0,4,10.97,0,8,structured,18.9
2,3.0,2,15.0,6.51,6,15,0,0.0,0,0.0,1,8,structured,3.8
2,5.0,3,8.0,13.59,4,11,0,0.0,2,2.78,1,5,chaotic,5.7
2,3.0,0,6.0,27.33,9,1,0,0.0,5,5.18,3,7,structured,8.9
1,2.0,2,15.0,21.88,13,1,0,0.0,4,11.18,1,4,structured,19.5
3,13.0,3,2.0,1.5,9,75,0,0.0,5,11.77,2,7,chaotic,60.1
3,3.0,1,5.0,9.11,7,7,1,29.0,2,3.52,0,3,structured,97.12404564253353
2,3.0,3,14.0,4.9,3,0,0,0.0,4,5.91,2,3,structured,17.0
1,2.0,3,15.0,23.94,15,22,1,11.0,0,0.0,2,6,structured,17.4
1,2.0,2,13.0,19.45,8,12,0,0.0,2,4.03,0,6,structured,7.0
0,3.0,3,3.0,2.21,9,7,0,0.0,4,3.84,4,9,structured,10.7
1,8.0,1,8.0,10.82,9,2,0,0.0,3,6.45,4,0,chaotic,17.5
2,5.0,1,10.0,16.11,9,14,0,0.0,5,10.09,2,4,structured,18.3
2,5.0,3,0.0,19.58,3,0,0,0.0,0,0.0,0,3,chaotic,9.1
3,3.0,2,15.0,6.71,8,6,0,0.0,1,1.45,2,2,structured,5.1
1,3.0,0,15.0,23.04,7,31,0,0.0,2,1.3,0,3,structured,7.9
1,2.0,1,12.0,20.64,12,24,0,0.0,3,5.41,2,3,chaotic,9.5
1,1.0,0,15.0,8.21,7,0,0,0.0,1,1.35,1,8,chaotic,4.2
1,5.0,2,3.0,6.15,13,0,0,0.0,2,1.64,4,1,structured,9.1
1,2.0,0,14.0,11.05,11,20,0,0.0,3,2.82,2,8,structured,9.1
1,2.0,1,4.0,3.38,3,0,0,0.0,2,2.65,1,6,structured,4.5
1,1.0,1,1.0,12.8,14,0,0,0.0,3,7.85,3,9,chaotic,11.2
2,8.0,0,4.0,19.92,7,14,0,0.0,5,11.46,4,0,structured,20.5
1,1.0,3,12.0,2.34,11,3,1,11.0,3,5.58,1,8,structured,23.2
2,5.0,1,15.0,18.41,5,7,1,27.0,5,15.89,3,4,structured,226.44403449692877
2,8.0,0,8.0,17.18,12,11,1,28.0,2,3.22,4,1,chaotic,51.9
1,2.0,0,8.0,21.0,14,4,0,0.0,0,0.0,2,0,chaotic,3.6
2,13.0,2,9.0,2.82,2,6,0,0.0,4,10.64,4,0,chaotic,28.5
2,3.0,1,8.0,20.26,12,2,1,23.0,4,11.73,4,0,structured,43.1
1,3.0,1,8.0,12.65,12,0,0,0.0,1,1.96,2,5,chaotic,11.6
1,13.0,1,5.0,3.65,6,2,0,0.0,1,0.82,4,3,chaotic,34.4
2,3.0,3,2.0,17.29,7,32,0,0.0,0,0.0,0,4,chaotic,7.9
1,3.0,2,8.0,23.97,7,2,0,0.0,3,4.63,4,7,structured,11.0
1,3.0,2,14.0,13.79,8,7,0,0.0,2,2.86,1,7,chaotic,8.7
0,5.0,1,8.0,6.86,7,5,1,5.0,4,5.95,2,6,structured,24.5
2,13.0,3,0.0,8.26,14,22,0,0.0,5,4.39,1,4,chaotic,36.1
2,8.0,2,5.0,16.07,15,0,0,0.0,1,0.8,4,8,chaotic,5.4
2,3.0,1,7.0,27.35,15,3,0,0.0,2,1.56,1,6,structured,13.9
2,5.0,3,9.0,7.71,8,42,0,0.0,1,1.23,3,4,structured,10.6
1,3.0,2,10.0,7.7,11,4,1,14.0,1,0.77,2,7,structured,19.2
2,3.0,2,8.0,17.29,2,12,0,0.0,5,10.15,0,1,structured,17.0
1,3.0,2,2.0,25.85,2,2,0,0.0,4,4.85,3,9,structured,5.8
1,5.0,1,7.0,2.52,12,30,0,0.0,2,3.75,0,0,structured,16.6
2,5.0,1,0.0,16.86,11,6,0,0.0,0,0.0,0,5,structured,5.2
1,2.0,0,8.0,15.97,3,1,1,29.0,0,0.0,1,2,chaotic,39.6
2,5.0,1,7.0,6.61,11,0,0,0.0,4,3.98,2,7,chaotic,13.6
2,8.0,1,5.0,2.08,10,2,0,0.0,2,1.81,3,5,structured,13.4
2,13.0,1,10.0,22.36,12,2,0,0.0,0,0.0,0,7,structured,13.7
2,3.0,3,12.0,23.31,9,12,0,0.0,2,2.77,4,2,structured,8.8
2,3.0,0,4.0,5.91,12,11,0,0.0,2,3.75,0,7,structured,7.3
1,2.0,2,8.0,16.88,12,9,1,23.0,4,9.19,0,7,structured,24.6
0,1.0,0,8.0,11.01,10,19,0,0.0,3,3.42,3,8,structured,6.4
1,13.0,0,8.0,16.88,9,21,0,0.0,2,2.31,1,6,structured,16.3
1,2.0,0,6.0,14.66,13,16,1,20.0,0,0.0,1,7,structured,24.0
1,3.0,1,3.0,14.1,4,2,0,0.0,0,0.0,3,4,chaotic,7.2
3,3.0,1,2.0,16.8,15,13,0,0.0,3,5.15,3,6,structured,7.4
1,2.0,1,0.0,5.48,14,10,0,0.0,4,4.26,1,7,structured,6.3
0,13.0,1,0.0,14.89,9,1,0,0.0,1,1.27,1,7,structured,24.6
1,3.0,1,12.0,11.13,14,12,0,0.0,2,3.03,3,4,chaotic,7.6
1,1.0,0,1.0,13.21,12,7,0,0.0,0,0.0,4,7,structured,3.7
2,3.0,1,13.0,5.91,7,4,0,0.0,0,0.0,1,0,structured,5.5
